model,MAE,RMSE,MAPE,train_seconds,predict_seconds
Random Forest,720.6957135125656,972.2006331867108,4.864067727080121,,0.04793450000215671
HistGradientBoosting,747.543478131247,984.8649285401777,5.084881710192579,1.0991537919981056,0.025150208002742147
Seasonal Naive,1333.9133858267717,1821.2706490537823,8.900928970889764,0.0,1.7124999430961907e-05
